Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      291     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      0.00     0.00      291     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy_chars(char*, char*, char*)
  0.00      0.00     0.00      291     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00      291     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)::_Guard::_Guard(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.00     0.00      291     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)::_Guard::~_Guard()
  0.00      0.00     0.00      276     0.00     0.00  bool __gnu_cxx::operator==<std::function<void (int)> const*, std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > > >(__gnu_cxx::__normal_iterator<std::function<void (int)> const*, std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > > > const&, __gnu_cxx::__normal_iterator<std::function<void (int)> const*, std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > > > const&)
  0.00      0.00     0.00      276     0.00     0.00  std::_Vector_base<std::function<void (int)>, std::allocator<std::function<void (int)> > >::_M_get_Tp_allocator() const
  0.00      0.00     0.00      276     0.00     0.00  std::_Function_base::_M_empty() const
  0.00      0.00     0.00      276     0.00     0.00  std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > >::end() const
  0.00      0.00     0.00      276     0.00     0.00  std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > >::size() const
  0.00      0.00     0.00      276     0.00     0.00  std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > >::begin() const
  0.00      0.00     0.00      276     0.00     0.00  std::_Vector_base<std::function<void (int)>, std::allocator<std::function<void (int)> > >::_M_allocate(unsigned long)
  0.00      0.00     0.00      276     0.00     0.00  std::_Vector_base<std::function<void (int)>, std::allocator<std::function<void (int)> > >::_Vector_impl::_Vector_impl(std::allocator<std::function<void (int)> > const&)
  0.00      0.00     0.00      276     0.00     0.00  std::_Vector_base<std::function<void (int)>, std::allocator<std::function<void (int)> > >::_M_create_storage(unsigned long)
  0.00      0.00     0.00      276     0.00     0.00  std::_Vector_base<std::function<void (int)>, std::allocator<std::function<void (int)> > >::_Vector_base(unsigned long, std::allocator<std::function<void (int)> > const&)
  0.00      0.00     0.00      276     0.00     0.00  std::function<void (int)>* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::function<void (int)> const*, std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > > >, std::function<void (int)>*>(__gnu_cxx::__normal_iterator<std::function<void (int)> const*, std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > > >, __gnu_cxx::__normal_iterator<std::function<void (int)> const*, std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > > >, std::function<void (int)>*)
  0.00      0.00     0.00      276     0.00     0.00  std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > >::vector(std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > > const&)
  0.00      0.00     0.00      276     0.00     0.00  std::function<void (int)>* std::__do_uninit_copy<__gnu_cxx::__normal_iterator<std::function<void (int)> const*, std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > > >, std::function<void (int)>*>(__gnu_cxx::__normal_iterator<std::function<void (int)> const*, std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > > >, __gnu_cxx::__normal_iterator<std::function<void (int)> const*, std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > > >, std::function<void (int)>*)
  0.00      0.00     0.00      276     0.00     0.00  std::function<void (int)>* std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::function<void (int)> const*, std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > > >, std::function<void (int)>*>(__gnu_cxx::__normal_iterator<std::function<void (int)> const*, std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > > >, __gnu_cxx::__normal_iterator<std::function<void (int)> const*, std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > > >, std::function<void (int)>*)
